headword,ecdict_phonetic,ecdict_pos_raw,ecdict_primary_pos,ecdict_definition_en,ecdict_translation_zh,ecdict_collins,ecdict_oxford,ecdict_tags,ecdict_bnc_rank,ecdict_frq_rank,ecdict_exchange,oxford_cefr_levels,oxford_pos_values,oxford_entry_count,webster_fallback_available,source_coverage,human_review,review_reason
laborer,'leibәrә,,,n. someone who works with their hands; someone engaged in manual labor,"n. 体力劳动者, 辅助工",,F,toefl,,6939,s:laborers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
labour,'leibә,,,n a social class comprising those who do manual labor or work for wages,"n. 劳动, 努力, 工作, 劳工, 分娩",5,T,zk gk cet4 cet6,724,16348,s:labours/i:labouring/p:laboured/d:laboured/3:labours,B2,n.,1,F,ECDICT|OXFORD_REPO,F,
labourer,'leibәrә,,,n someone who works with their hands; someone engaged in manual labor,"n. 劳动者, 干体力工作的工人, 劳工",1,F,gk,5556,32892,s:labourers,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lace,leis,,,n. a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment),"n. 饰带, 花边, 缎带, 鞋带",2,F,cet4 cet6 ky toefl ielts gre,4847,6642,s:laces/d:laced/p:laced/i:lacing/3:laces,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lack,læk,,,n. the state of needing something that is absent or unavailable,"n. 缺乏, 无, 不足",4,T,gk cet4 ky ielts,1103,1229,i:lacking/p:lacked/3:lacks/d:lacked,B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lad,læd,,,n a boy or man,"n. 青年, 家伙, 少年, 情人",3,F,ky,2455,9364,s:lads,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
ladder,'lædә,,,n. steps consisting of two parallel members connected by rungs; for climbing up or down,"n. 梯, 梯状物, 发迹的途径",2,F,gk cet4 cet6 ky,4136,4505,s:ladders/d:laddered/p:laddered/i:laddering/3:ladders,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lady,'leidi,,,n. a polite name for any woman,"n. 淑女, 夫人, 女士, 贵妇",4,T,zk gk cet4 ky,774,1517,s:ladies,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lag,læg,,,"v. hang (back) or fall (behind) in movement, progress, development, etc.","n. 落后, 囚犯, 迟延, 桶板, 防护套",2,F,cet4 cet6 ky toefl ielts gre,9463,8448,i:lagging/3:lags/s:lags/d:lagged/p:lagged,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lager,'lɑ:gә,,,n. a general term for beer made with bottom fermenting yeast (usually by decoction mashing); originally it was brewed in March or April and matured until September,n. 贮陈啤酒,1,F,,8014,21354,s:lagers/d:lagered/p:lagered,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lagoon,lә'^u:n,,,n. a body of water cut off from a larger body by a reef of sand or coral,"n. 环礁湖, 近海岸的浅水区, 泻湖, 咸水湖",1,F,toefl gre,12549,9872,s:lagoons,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lake,leik,,,n. a body of (usually fresh) water surrounded by land,"n. 湖, 池, 色淀",3,T,zk gk ielts,1812,1950,s:lakes,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lamb,læm,,,n. young sheep,"n. 小羊, 羔羊",2,F,zk gk cet4 cet6 ky ielts,4170,5590,s:lambs/i:lambing/p:lambed/3:lambs/d:lambed,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lambert,'læmbә(:)t,,,n. a cgs unit of illumination equal to the brightness of a perfectly diffusing surface that emits or reflects one lumen per square centimeter,[计] 兰伯特,,F,,7338,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lame,leim,,,n. a fabric interwoven with threads of metal,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人",1,F,gk cet4 cet6 ky ielts,11787,9982,3:lames/d:lamed/p:lamed/i:laming/t:lamest/r:lamer,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lament,lә'ment,,,n. a cry of sorrow and grief,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词",1,F,toefl ielts gre,11418,7387,p:lamented/3:laments/i:lamenting/d:lamented/s:laments,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lamont,,,,,拉蒙特,,F,,5225,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lamp,læmp,,,n. an artificial source of visible illumination,n. 灯,2,T,zk gk cet4 cet6 ky toefl ielts,3340,3936,s:lamps,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lancashire,'læŋkәʃiә,,,n. a historical area of northwestern England on the Irish Sea; noted for textiles,n. 兰开夏郡(英格兰郡名),,F,,4023,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lancaster,'læŋkәstә,,,n. a city in northwestern England,n. 兰开斯特（美国成市）,,F,,5090,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
land,lænd,,,n. the land on which real estate is located,"n. 陆地, 地面, 地界, 地产, 国土, 土地",5,T,zk gk toefl ielts,472,566,s:lands/p:landed/d:landed/i:landing/3:lands,A1|A2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
landed,'lændid,,,a. owning or consisting of land or real estate,"a. 拥有土地的, 有田地的",,F,,9858,16461,0:land/1:pd/p:landed/d:landed,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
landfill,'lændfil,,,n. a low area that has been filled in,n. 垃圾堆；垃圾填埋地,1,F,gre,13230,6865,s:landfills,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
landing,'lændiŋ,,,n. an intermediate platform in a staircase,"n. 登陆, 码头, 降落",2,F,cet4 cet6 toefl,3538,3688,0:land/1:i/i:landing/s:landings,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
landlord,'lændlɒ:d,,,n. a landowner who leases to others,"n. 房东, 地主",2,F,cet4 cet6 ky,2447,6724,s:landlords,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
landmark,'lændmɑ:k,,,n. the position of a prominent or well-known object in a particular landscape,"n. 陆标, 划时代的事, 地界标",2,F,toefl gre,7019,4715,s:landmarks/i:landmarking,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
landowner,'lændәunә,,,n. a holder or proprietor of land,n. 地主,1,F,,5423,7830,s:landowners,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
landscape,'lændskeip,,,n. an expanse of scenery that can be seen in a single view,"n. 风景, 山水, 风景画",3,T,cet6 toefl ielts,2264,1827,s:landscapes/d:landscaped/i:landscaping/p:landscaped/3:landscapes,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lane,lein,,,n. a narrow way or road,"n. 小路, 巷, 弄, 单行道",3,T,cet4 cet6 ky ielts,1758,4136,s:lanes,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lang,læŋ,,,a. & adv. Long.,abbr. 语言（language）,,F,,7395,,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
language,'læŋgwidʒ,,,n. a systematic means of communicating by the use of sounds or conventional symbols,"n. 语言, 文字, 措辞",4,T,zk gk ielts,436,722,s:languages,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lanka,,,,,n. 兰卡；楞伽,,F,,7358,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lantern,'læntәn,,,n. light in a transparent protective case,"n. 灯笼, 提灯, 航标灯",1,F,gk cet4 cet6 ky,10101,8338,s:lanterns,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lap,læp,,,n. the upper side of the thighs of a seated person,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳",3,F,gk cet4 cet6 ky ielts gre,4140,3359,s:laps/d:lapped/i:lapping/p:lapped/3:laps,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lapse,læps,,,n. a break or intermission in the occurrence of something,"n. 过失, 流逝, 失效",1,F,ky ielts gre,9458,9939,s:lapses/p:lapsed/d:lapsed/i:lapsing/3:lapses,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
laptop,,,,n. a portable computer small enough to use in your lap,[计] 膝上型的,,F,ky,25826,5866,s:laptops,A2,n.,1,F,ECDICT|OXFORD_REPO,F,
large,lɑ:dʒ,,,n. a garment size for a large person,"a. 大的, 大量的, 宽大的, 广博的",5,T,zk gk,181,220,r:larger/t:largest,A1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
large-scale,,,,s. unusually large in scope,"a. 大规模的, 大范围的, 大比例尺的",2,F,,,,,C1,adj.,1,F,ECDICT|OXFORD_REPO,F,
largely,'lɑ:dʒli,,,r. in large part; mainly or chiefly,"adv. 大量地, 很多地, 大半地",4,T,cet4 cet6 ky toefl,1323,1679,,B2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
larry,'læri,,,"n. Same as Lorry, or Lorrie.",n. 拉里（男子名）,,F,,8109,,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
larva,'lɑ:vә,,,n. the immature free-living form of most invertebrates and amphibians and fish which at hatching from the egg is fundamentally unlike its parent and must metamorphose,n. 幼虫,1,F,toefl gre,7470,9123,s:larvae,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
laser,'leizә,,,n. an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light,n. 激光,2,F,gk cet4 cet6 ky toefl ielts,4841,3896,s:lasers/p:lasered/d:lasered/i:lasering,C1,n.,1,F,ECDICT|OXFORD_REPO,F,
lash,læʃ,,,n. leather strip that forms the flexible part of a whip,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺",2,F,ky toefl ielts gre,8665,8455,s:lashes/p:lashed/i:lashing/d:lashed/3:lashes,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lass,læs,,,n. a girl or young woman who is unmarried,"n. 少女, 爱人, 情妇",1,F,,9094,19382,s:lasses,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
last,lɑ:st,,,n. the last or lowest in an ordering or series,"a. 最后的, 末尾的, 最近的",2,T,gk,119,130,p:lasted/3:lasts/i:lasting/d:lasted,A1|A2,adv.|det.|n.|v.,4,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lasting,'lɑ:stiŋ,,,s. lasting a long time without change,"a. 永久的, 永恒的, 持久的",2,F,toefl gre,6361,6220,0:last/1:i/i:lasting,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lastly,'lɑ:stli,,,r the item at the end,"adv. 最后, 终于",1,F,,9713,12764,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
late,leit,,,a. being or occurring at an advanced period of time or after a usual or expected time,"a. 迟的, 晚的, 已故的",5,T,zk gk,298,437,r:later/t:latest,A1,adj.|adv.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lately,'leitli,,,r in the recent past,"adv. 近来, 最近",2,F,gk cet4 cet6 ky toefl,6088,4028,r:latelier,B2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
latent,'leitnt,,,s. potentially existing but not presently evident or realized,"a. 潜伏性的, 隐藏的",1,F,cet6 ky toefl ielts gre,7284,11997,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
later,'leitә,,,s. coming at a subsequent time or stage,"adv. 以后, 随后",5,T,gk cet4 cet6 ky,279,295,0:late/1:r,A1|A2,adj.|adv.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lateral,'lætәrәl,,,s. situated at or extending to the side,"n. 侧部, 支线, 边音",1,F,ky toefl ielts gre,7342,8322,s:laterals,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
latest,'leitist,,,n. the most recent news or development,a. 最近的,4,T,gk ielts,,,0:late/1:t,B1|B2,adj.|n.,2,F,ECDICT|OXFORD_REPO,F,
latin,'lætin,,,n. any dialect of the language of ancient Rome,"n. 拉丁人, 拉丁语",,F,cet4 cet6 ky,3324,2526,s:latins,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
latino,"læ'ti:nәu, lә-",,,n. an artificial language based on words common to the Romance languages,n. 拉丁美洲人,1,F,,,5048,s:latinos,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
latitude,'lætitju:d,,,n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself,"n. 纬度, 范围",1,F,cet6 ky toefl ielts gre,10209,7992,s:latitudes,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
latter,'lætә,,,n. the second of two or the second mentioned of two,"a. 后者的, 较后的, 近来的",3,T,gk cet4 cet6 ky toefl,1251,2725,,C1,adj.|n.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
laugh,lɑ:f,,,n. the sound of laughing,"n. 笑, 笑声",5,T,zk gk,1021,861,p:laughed/i:laughing/3:laughs/d:laughed/s:laughs,A1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
laughter,'lɑ:ftә,,,n. the activity of laughing; the manifestation of joy or mirth or scorn,"n. 笑, 笑声",3,F,gk cet4 cet6 ky,3321,3397,,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
launch,lɒ:ntʃ,,,n. a motorboat with an open deck or a half deck,"n. 下水, 汽艇, 发射",4,T,cet4 cet6 ky toefl ielts,1427,1743,d:launched/p:launched/i:launching/3:launches/s:launches,B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
laundry,'lɒ:ndri,,,n. garments or white goods that can be cleaned by laundering,"n. 洗衣店, 洗好的衣服, 洗涤",1,F,gk cet4 cet6 ky toefl ielts,7707,4940,s:laundries,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
laura,'lɔ:rә,,,n. A number of hermitages or cells in the same neighborhood,n. 劳拉（女子名）,,F,,3082,,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lava,'lɑ:vә,,,n. rock that in its molten form (as magma) issues from volcanos; lava is what magma is called when it reaches the surface,"n. 熔岩, 火山岩",1,F,toefl ielts gre,8301,9085,s:lavas,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lavatory,'lævәtәri,,,n a room or building equipped with one or more toilets,"n. 洗脸盆, 厕所",1,F,gk cet4 cet6 ky,7030,19680,s:lavatories,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lavender,'lævindә,,,n. any of various Old World aromatic shrubs or subshrubs with usually mauve or blue flowers; widely cultivated,"n. 熏衣草, 淡紫色",1,F,,9229,8172,s:lavenders,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lavish,'læviʃ,,,v. expend profusely; also used with abstract nouns,"a. 大方的, 丰富的, 浪费的",2,F,toefl ielts gre,9685,9031,d:lavished/p:lavished/i:lavishing/3:lavishes,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
law,lɒ:,,,n. the collection of rules imposed by authority,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼",5,T,zk gk cet4 cet6 ky ielts,278,287,s:laws,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lawful,'lɒ:ful,,,a. conformable to or allowed by law,"a. 法律许可的, 守法的, 合法的",1,F,,8872,14527,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lawmaker,lɒ:'meikә,,,n a maker of laws; someone who gives a code of laws,n. 立法者,2,F,,34834,4685,s:lawmakers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lawn,lɒ:n,,,n. a field of cultivated and mowed grass,"n. 草地, 草坪, 上等细麻布",2,F,cet4 cet6 ky toefl ielts,4589,2951,s:lawns,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lawrence,'lɔrәns,,,n. Roman martyr; supposedly Lawrence was ordered by the police to give up the church's treasure and when he responded by presenting the poor people of Rome he was roasted to death on a gridiron (died in 258),n. 劳伦斯（男子名）,,F,,3331,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lawson,'lɔ:sn,,,,n. [姓氏] 劳森,,F,,7375,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lawsuit,'lɒ:sju:t,,,n. a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy,n. 诉讼,2,F,cet6 toefl,15306,2660,s:lawsuits,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lawyer,'lɒ:jә,,,n. a professional person authorized to practice law; conducts lawsuits or gives legal advice,n. 律师,4,T,gk cet4 cet6 ky ielts,1962,816,s:lawyers,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lay,lei,,,v. put in a horizontal position,"vt. 放置, 产, 铺设, 布置, 提出, 平息",4,T,zk gk cet4 cet6 ky toefl ielts,958,803,0:lie/1:p/d:laid/p:laid/i:laying/3:lays,B1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
layer,'leiә,,,n. single thickness of usually some homogeneous substance,"n. 层, 产卵鸡, 放置者",3,T,cet4 cet6 ky toefl ielts,2248,2168,s:layers/d:layered/i:layering/p:layered/3:layers,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
layoff,'leiɒf,,,n. the act of laying off an employee or a work force,"n. 临时解雇, 操作停止, 活动停止期间",1,F,cet6 ky ielts,40104,7801,s:layoffs,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
layout,'leiaut,,,n. a plan or design of something that is laid out,"n. 布局, 陈列, 规划图, 页面布局, 版面编排",1,F,cet4 cet6 ky toefl ielts,4564,7478,s:layouts,C1,n.,1,F,ECDICT|OXFORD_REPO,F,
lazy,'leizi,,,s. moving slowly and gently,"a. 懒惰的, 怠惰的, 缓慢的",2,T,zk gk cet4 ky,6453,6238,t:laziest/r:lazier,A2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lb,,,,n 16 ounces avoirdupois,"磅, 文学士",,F,,5894,,s:lbs,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
le,,,,n a chronic inflammatory collagen disease affecting connective tissue (skin or joints),[计] 小于或等于,,F,,4157,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lea,li:,,,n. a unit of length of thread or yarn,n. 草地,,F,,4074,30030,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lead,li:d. led,,,n. an advantage held by a competitor in a race,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线",2,T,zk gk cet4 ky toefl,263,318,p:led/d:led/i:leading/3:leads/s:leads/0:lead/1:d,A2|B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leader,'li:dә,,,n. a person who rules or guides or inspires others,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符",5,T,zk gk cet4 cet6,604,463,s:leaders,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leadership,'li:dәʃip,,,n. the activity of leading,"n. 领导能力, 领导阶层",4,F,cet4 cet6 ky toefl,1873,1304,s:leaderships,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leading,'li:diŋ,,,s. indicating the most important performer or role,"n. 领导, 指挥, 神示, 铅板",4,T,gk cet4 cet6 ky toefl,1551,2188,0:lead/1:i/i:leading,B1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leaf,li:f,,,n. the main organ of photosynthesis and transpiration in higher plants,"n. 叶, 树叶, 花瓣, 页",3,T,zk gk cet4 cet6 ky,1823,1559,s:leaves/i:leafing/p:leafed/3:leafs/d:leafed,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leaflet,'li:flit,,,n. part of a compound leaf,"n. 小叶, 传单",2,F,cet6 ky ielts,3571,13599,s:leaflets,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
league,li:g,,,n. an association of sports teams that organizes matches for its members,"n. 同盟, 联盟, 盟约",4,T,gk toefl,1181,1951,s:leagues/i:leaguing/p:leagued/3:leagues/d:leagued,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leak,li:k,,,n. an accidental hole that allows something (fluid or light etc.) to enter or escape,"n. 漏洞, 漏处, 漏出, 泄漏",3,F,gk cet4 cet6 ky toefl ielts gre,5948,5165,d:leaked/s:leaks/i:leaking/p:leaked/3:leaks,C1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lean,li:n,,,v. to incline or bend from a vertical position,"n. 瘦肉, 倾斜, 倾斜度",3,T,cet4 cet6 ky toefl gre,1867,1520,p:leaned/i:leaning/3:leans/r:leaner/d:leaned,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leap,li:p,,,"n. a light, self-propelled movement upwards or forwards","n. 跳跃, 剧增, 急变, 被越过之物",3,F,cet4 cet6 ky toefl ielts,3425,3621,p:leapt/i:leaping/s:leaps/3:leaps/d:leapt,C1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
learn,lә:n,,,v. gain knowledge or skills,vt. 学习；认识到；得知,5,T,zk gk ielts,520,304,d:learned/i:learning/p:learned/3:learns,A1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
learned,'lә:nid,,,v gain knowledge or skills,"a. 有学问的, 学术上的",1,F,gk cet4 cet6 ky,6667,10842,0:learn/1:dp/p:learned/d:learned,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
learner,'lә:nә,,,n. someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs,"n. 学习者, 初学者",,F,,4900,5078,s:learners,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
learning,'lә:niŋ,,,n. the cognitive process of acquiring skill or knowledge,"n. 学问, 学识, 学习",,F,cet4 cet6 ky,1745,1455,0:learn/1:i/i:learning,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lease,li:s,,,n. property that is leased or rented out or let,"n. 租约, 租期, 租",3,F,cet6 ky toefl ielts gre,3049,6035,s:leases/d:leased/i:leasing/p:leased/3:leases,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
least,li:st,,,n. something that is of no importance,"n. 最少, 最小, 最小限度",5,T,zk gk cet4 cet6 ky ielts,2012,302,,A2,adv.|det.|pron.,3,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leather,'leðә,,,n. an animal skin made smooth and flexible by removing the hair and then tanning,"n. 皮革, 皮制品, 马镫的皮带",3,T,gk cet4 cet6 ky toefl,2976,2943,s:leathers/i:leathering/p:leathered/3:leathers/d:leathered,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leave,li:v,,,n. the period of time during which you are absent from work or duty,"n. 许可, 告别, 请假, 休假",5,T,zk gk ielts,127,150,d:left/p:left/i:leaving/3:leaves/s:leaves,A1|B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lebanese,",lebә'ni:z",,,n. a native or inhabitant of Lebanon,a. 黎巴嫩的,,F,,8360,7656,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lebanon,'lebәnәn,,,n. an Asian republic at east end of Mediterranean,n. 黎巴嫩,,F,,5508,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
lecture,'lektʃә,,,n. a speech that is open to the public,"n. 演讲, 谴责, 讲稿",3,T,gk cet4 cet6 ky ielts,2588,3526,s:lectures/i:lecturing/p:lectured/d:lectured/3:lectures,A2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
lecturer,'lektʃәrә,,,n. someone who lectures professionally,"n. 演讲者, 讲师",2,F,,4493,10335,s:lecturers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ledge,ledʒ,,,n. a projecting ridge on a mountain or submerged under water,"n. 突出部分, 暗礁, 矿层",1,F,toefl,8884,8316,s:ledges/p:ledged,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
lee,li:,,,n. United States filmmaker whose works explore the richness of black culture in America (born in 1957),"n. 背风处, 避风处, 下风处, 保护, 庇护",,F,,2350,,s:lees,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
leeds,li:dz,,,n. a city on the River Aire in West Yorkshire in northern England; a center of the clothing industry,n. 利兹市（英国城市名）,,F,,1906,,0:leed/1:s3,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
left,left,,,n. location near or direction toward the left side; i.e. the side to the north when a person or object faces east,"a. 左边的, 左倾的, 左侧的, 左派的",3,T,zk gk,1045,771,0:leave/1:dp/d:left/p:left,A1,adj.|adv.|n.,3,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
leftist,'leftist,,,s. believing in or supporting tenets of the political left,"n. 左翼的人, 左派",1,F,,16498,9101,s:leftists,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
leftover,'leftәuvә,,,n. a small part or portion that remains after the main part no longer exists,"n. 剩货, 残留物, 剩饭",1,F,gk,22683,9769,s:leftovers,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
leg,leg,,,n. a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle,"n. 腿, 假腿, 路程",4,T,zk gk,851,856,s:legs,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
legacy,'legәsi,,,n (law) a gift of personal property by will,"n. 祖先传下来之物, 遗赠物",2,F,cet6 ky toefl gre,5067,3189,s:legacies,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
legal,'li:gәl,,,a. established by or founded upon law or official or accepted rules,"a. 法律的, 法定的, 合法的",4,T,gk cet4 cet6 ky toefl ielts,764,883,,B1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
legally,'li:gәli,,,r. by law; conforming to the law,"adv. 法律上, 合法地",,T,,4929,4563,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
legend,'ledʒәnd,,,n. a story about mythical or supernatural beings or events,"n. 传说, 传奇文学, 图例",2,F,cet4 cet6 ky toefl ielts gre,4020,3383,s:legends,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
